si,ri,avg_community_size,community_count,sybil_wallet_count
0.1,0,6.243301178992497,933,5825
0.1,10,15.0990990990991,777,11732
0.1,20,12.94588500563698,887,11483
0.1,30,11.846638655462185,952,11278
0.1,40,11.141282565130261,998,11119
0.1,50,10.560038424591738,1041,10993
0.1,60,10.33906399235912,1047,10825
0.1,70,9.940520446096654,1076,10696
0.1,80,9.682234432234432,1092,10573
0.1,90,9.485013623978201,1101,10443
0.1,100,9.30505415162455,1108,10310
0.1,110,9.203252032520325,1107,10188
0.1,120,8.965486725663716,1130,10131
0.1,130,8.869257950530036,1132,10040
0.1,140,8.764499121265377,1138,9974
0.1,150,8.560658578856152,1154,9879
0.1,160,8.487847222222221,1152,9778
0.1,170,8.418989547038327,1148,9665
0.1,180,8.350479511769834,1147,9578
0.1,190,8.287958115183246,1146,9498
0.1,200,8.244115082824761,1147,9456
0.1,210,8.2182296231376,1141,9377
0.1,220,8.11944202266783,1147,9313
0.1,230,8.094653812445223,1141,9236
0.1,240,8.028896672504379,1142,9169
0.1,250,7.988626421697288,1143,9131
0.1,260,7.922942206654991,1142,9048
0.1,270,7.83304347826087,1150,9008
0.1,280,7.768630849220104,1154,8965
0.1,290,7.819383259911894,1135,8875
0.1,300,7.680242634315425,1154,8863
0.1,310,7.6006884681583475,1162,8832
0.1,320,7.571305099394987,1157,8760
0.1,330,7.567965367965368,1155,8741
0.1,340,7.484509466437177,1162,8697
0.1,350,7.443396226415095,1166,8679
0.1,360,7.464006938421509,1153,8606
0.1,370,7.40447504302926,1162,8604
0.1,380,7.3339026473099915,1171,8588
0.1,390,7.358131487889273,1156,8506
0.1,400,7.324137931034483,1160,8496
0.1,410,7.309153713298791,1158,8464
0.1,420,7.2770562770562774,1155,8405
0.1,430,7.246977547495682,1158,8392
0.1,440,7.251299826689775,1154,8368
0.1,450,7.224242424242425,1155,8344
0.1,460,7.222802436901653,1149,8299
0.1,470,7.1092943201376935,1162,8261
0.1,480,7.15377932232841,1151,8234
0.1,490,7.171779141104294,1141,8183
0.1,500,7.139982502187227,1143,8161
0.1,510,7.084347826086956,1150,8147
