from_address,to_address,_col2
0x6b22ca1ba7fc8d7f96cdb13ab68f082c27ed78d3,0x4c510f3b6e4190037c24fdb41fcb4c312a42c3e3,2
0x02c97159c1b3ca84b919ce26e8fc97150f410413,0x70b4463181ed9a4079d4917327af63cfdac3bc3f,1
0x8d25e246a03f9f20444f13576e8fdc6e7f188eca,0x8d25e246a03f9f20444f13576e8fdc6e7f188eca,1
0x1629d7c04d64336eb61426d602f530609cb57b75,0x1ea319d90011c17e8f144552f1f75d7a3f8916d6,1
0x50c49098c25d69136c0592154b4d5d4c0e1fa84b,0xff85a314a083c947238972aad732814a83c9a4af,1
0x5319bfcb4b72b8c2f1d290c0df2736dbb05e0f34,0xf104fbe09fd5fa9e06564ccea7b292d1b5502e7c,1
0xecadf039669d6632216ad9bab5b50dc35ab59eed,0xe80f575f00283798815f64a8a3a94d5da186534d,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xdfb225dcd2571a660ba1536568229f73650f0a95,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xcedda49ae0a08cbeb91c450dbcfe9722ed0e8418,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x141938bed49bb6c1e0727299a611e331a63e8d95,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xfe5d7c274934df9fc36f3ba580579d4a6c377853,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x8ebc84b19544d8d6e72ea04ff78433c202008e08,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xf10ed0a106c38e02bcfb6c77bec16476dfdaaa42,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x4b7977cb256c3a35568a0a12723992e50c7d71fb,1
0xbfe5513c73858bc5de350d4b3eed5c21fac89a2e,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0x6b635886761c24100aa52308fd6c5d02516d579d,0x2d9757b74a5df3dbb7910e4a8b2e93ca15b61f40,1
0xb817aa52c96d491ecb27bdf4568f038d983729a8,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0x83dcee79a1b47412a02a7c3a256229e768fe4c74,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x25c805eaa831a0c98f45580e50676e041dcc87b8,1
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xd98252461763d803d8b57615d9219e295336e23a,1
0x5c7111646682844303700dba4f228ade14d4d7f2,0x6ec9b1ac67404c4cc34aa479dd651b0c0ce3e494,1
0x5e1258ea42a93171d807444e89af0bf47ca17679,0x9fea0f3f349e2c2c73198f463890be7113f206ab,1
0x0fd9b6404c9d62fca091cf4b0e5fcecf6cf1183f,0x1bcabdef181f4f7437c5b3e502be56fa16e88b6c,1
0xe2f0977fb5d11ba2f8fe6261dad4ec605a3cce4f,0x5e90ab00f56e20ce573b60b57cc1eb0ebd2fcf31,1
0xcdac0c4d68225dc7ebe31b45f7f9eb1863e887d6,0x896926eb02a714effa1e442e59c7acba33ce1b9b,1
0x37c42bfd9817eca61db7fe46553c3cfca8e212a2,0xb1b523af6a9084fe77e64daa48ac176aa56287a6,1
0x8e7935f88b08ffa9cbb2c0dedffb454bd2480312,0xec09cc5f79ad5bafe17419d862b4b9f7bb52000f,1
0x00787ff586dc768e66ad98a4b03f8ce6d5f1ea3d,0x68699950fa4124c2609b13b85299282ad4172c45,1
0x5b43b9007af8f6d11b0a52aa5013273b325f69e3,0x896926eb02a714effa1e442e59c7acba33ce1b9b,1
0x17e7bba5cc6cd751d65c9da7023e4b6e7ea4dadb,0x896926eb02a714effa1e442e59c7acba33ce1b9b,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x305ee3e332daf2fcff614ebada5636e7e1abfa02,1
0x87fce6b23e5cce1b61097dd8807e01d6446c4ea6,0x247f86ea72f245586891d29d4c53017c0cfaa3d4,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x30386c4b94f4bbeb816319e1e18511bb30c6637f,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x0eaa54bf0d0b0a1b28c082fb7f598c9e5e16c94f,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x2617b97f2dc8796671319c2d52905b8a48fb3051,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xf11f88f2e3197ed997fcad14b48dbee3721f14d2,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x50857659012a3cdff1be71b256360f55fb21f7a1,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x99bd0e1a5751c4f8d1b8d9985a1a573febac2d29,1
0x489ae35d4542e82a905cd1d4ab4313cdcb1f7cbb,0x896926eb02a714effa1e442e59c7acba33ce1b9b,1
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0xb6379a5d5d6ad334ec971ffdc3028deca9a59799,1
0xa2986a2ee393f7a442c23afe23590a57e919374f,0x18e319be6c3c49a8f922b539aacfab6b57b13ff4,1
0x600823af274aa39a49c11040f4ca01f09fbe50f4,0xa1db9223e21ae6cc198543fc0a6c6f75c65efa87,1
0xf5a6ae846ecab64d9f0b21aea067a0cfade43440,0xc31051545e29f1332cb73bc69ec086b770c1ac88,1
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x0fb7701e8f6bceef29f114873731121b55fb7903,2
0xdc066677b5ee2c577132b69ac13da6cf8a50c1c7,0xaf2e919b59734b8d99f6bc1f62dc63d6519d14bc,1
0x0c7c5314d9908ed1ba3a73e2f2ce493d088aaf69,0xd7bfbc1279caee3cb22e54dd4056f7f19bd27277,1
0x364246fc76b70fe6867f53adc28649871b1ad540,0x70b4463181ed9a4079d4917327af63cfdac3bc3f,1
0xcb66640b63166cf8c1179dd90f92cb7e078f00d1,0xdbb578eeea905a6e02c7be4f635f3aa8a03c884f,1
0xdaf8313d766a62b5271a446b7e03d45ffb000490,0xf8302ce5a8c5beaa91f5576a90e7738189d2fdd8,1
0xd7fc7a550040ec3df5d52e49c8606d932d9b6720,0x66a8a7aefac5ad5a27bfc639a05bfd77e0885f3a,1
0x54daf8377f714dbf6ab874a9a4a12716385033c1,0x541fcdcb7250a79f2c8dbc2399bea1c379614d78,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x2405cf271723901e0020d59c2405f239151c9221,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xaf7a57d20093fe8f552f0b8514a4d939e681e061,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x12d8dcdb0229ce690e24616dda539cbb6963bbd3,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x916bf34c21157386771e571c6e9dd8a906c9b9ab,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xf927d6fa809ca01d703dff1e6798dee894b90b05,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xcf904f8f93d6cbe8312d4e3297b3b6b14a60793a,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0x746c9fbc417498511c3db45db41d9a5206f48ffe,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xd5ea3c6c1e77fd2ee38b07e1ac93ed4b99539289,1
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,0xd0060dbfecfddbf14995288021c91aea2ee9abf0,2
